surprise,dep_var,sample,n,alpha,beta,se,tstat,pval,r2
llm_surprise_ar1,dgs2_ret1w,full,234,-0.012369143753358751,0.07331767312594505,0.04035730469304867,1.8167138188139116,0.06926094469371014,0.026358388447352277
llm_surprise_ar1,dgs2_ret1w,train,146,-0.0031506849315068378,0.05692545656294149,0.05332386684125276,1.0675417957293083,0.28572725064413107,0.020869364974345106
llm_surprise_ar1,dgs2_ret1w,test,88,-0.029865551629574348,0.12917179610728788,0.06736375495547325,1.9175266609272168,0.055171057246158034,0.05042032473957325
llm_surprise_ar1,dgs10_ret1d,full,234,-0.007231295756809371,0.020787456724518382,0.017832956239231354,1.1656764277135003,0.2437452941930992,0.005275142836332347
llm_surprise_ar1,dgs10_ret1d,train,146,0.0003424657534246497,0.02864907984493418,0.02178517664228649,1.3150721848784275,0.1884856436802842,0.009333740456617168
llm_surprise_ar1,dgs10_ret1d,test,88,-0.01937818460497097,0.010168524122257917,0.030844368147089907,0.3296719865930304,0.7416478229029091,0.001646329142633074
llm_surprise_ar1,dgs10_ret1w,full,234,-0.009433061453173464,0.04822993733582682,0.04364179884762842,1.1051317454676304,0.26910250676854774,0.010179055331110076
llm_surprise_ar1,dgs10_ret1w,train,146,-0.004726027397260249,0.03481943704292593,0.0552935441652053,0.6297197542427898,0.5288779556737402,0.005960573915423817
llm_surprise_ar1,dgs10_ret1w,test,88,-0.018893393832754037,0.09010340875606651,0.08541850525184355,1.0548464702163802,0.29149554745179185,0.027226609267470225
llm_surprise_ar1,sp500_ret1d,full,233,0.28128658691086705,0.14746926501761567,0.354844572931791,0.41558833434931114,0.6777112644387939,0.0008418869598320056
llm_surprise_ar1,sp500_ret1d,train,145,0.44246182402404893,0.08889315195619459,0.4111422019193143,0.21621023466143635,0.8288238761152162,0.0003218220740306421
llm_surprise_ar1,sp500_ret1d,test,88,0.0014924376634103953,0.5111758380733241,0.7383075632289391,0.6923616437541701,0.4887102470048599,0.009530310622284155
llm_surprise_ar1,sp500_ret1w,full,233,0.2225512576341609,-0.4634429668044432,0.7466396298923074,-0.6207050205348577,0.5347937255032056,0.002122796705714247
llm_surprise_ar1,sp500_ret1w,train,145,0.4476515868746199,-0.5662875424171703,0.9525905064821051,-0.5944711169844188,0.5521970548543559,0.005184883937548013
llm_surprise_ar1,sp500_ret1w,test,88,-0.17036169698252163,0.10005708648303213,1.506901838353192,0.06639920659488933,0.9470600018562547,4.952583448858405e-05
